original_ID,Protein Conv,Total Fat Conv,Carbohydrate Conv,"Sugars, total Conv","Fiber, total dietary Conv",Calcium Conv,Iron Conv,Sodium Conv,Vitamin C Conv,Cholesterol Conv,Total Vitamin A Conv,calories Conv
tg_11213449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_11215316,"[0.0, ""g"", 0.0]","[0.0, ""g"", 0.0]","[29.0, ""g"", 29.0]","[27.0, ""g"", 27.0]",NaN,"[30.0, ""mg"", 0.03]",NaN,"[105.0, ""mg"", 0.105]",NaN,NaN,NaN,"[110.0, null, 110.0]"
tg_11215317,NaN,"[0.0, ""g"", 0.0]","[2.0, ""g"", 2.0]",NaN,NaN,NaN,NaN,"[105.0, ""mg"", 0.105]",NaN,NaN,NaN,"[10.0, null, 10.0]"
tg_11853100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12190462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12190967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12918876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12918877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12918878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12919809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12920260,"[6.0, ""g"", 6.0]","[15.0, ""g"", 15.0]","[6.0, ""g"", 6.0]","[2.0, ""g"", 2.0]","[3.0, ""g"", 3.0]","[80.0, ""mg"", 0.08]","[1.0, ""mg"", 0.001]","[115.0, ""mg"", 0.115]",NaN,"[0.0, ""mg"", 0.0]",NaN,"[170.0, null, 170.0]"
tg_12920261,"[6.0, ""g"", 6.0]","[16.0, ""g"", 16.0]","[5.0, ""g"", 5.0]","[1.0, ""g"", 1.0]","[3.0, ""g"", 3.0]","[80.0, ""mg"", 0.08]","[1.0, ""mg"", 0.001]","[150.0, ""mg"", 0.15]",NaN,"[0.0, ""mg"", 0.0]",NaN,"[170.0, null, 170.0]"
tg_12920404,"[2.0, ""g"", 2.0]","[1.0, ""g"", 1.0]","[20.0, ""g"", 20.0]","[1.0, ""g"", 1.0]","[1.0, ""g"", 1.0]","[0.0, ""DV"", 0.0]","[0.06, ""DV"", 0.00108]","[260.0, ""mg"", 0.26]","[0.0, ""DV"", 0.0]","[0.0, ""mg"", 0.0]","[0.0, ""DV"", 0.0]","[10.0, null, 10.0]"
tg_12920691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12920692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12920741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12920863,"[6.0, ""g"", 6.0]","[14.0, ""g"", 14.0]","[6.0, ""g"", 6.0]","[1.0, ""g"", 1.0]","[3.0, ""g"", 3.0]","[0.08, ""DV"", 0.104]","[0.06, ""DV"", 0.00108]","[0.0, ""mg"", 0.0]","[0.0, ""DV"", 0.0]","[0.0, ""mg"", 0.0]","[0.0, ""DV"", 0.0]","[130.0, null, 130.0]"
tg_12920873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12920957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12920959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12920960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12921029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12921030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12921061,"[4.0, ""g"", 4.0]","[1.0, ""g"", 1.0]","[25.0, ""g"", 25.0]","[2.0, ""g"", 2.0]","[5.0, ""g"", 5.0]","[80.0, ""mg"", 0.08]","[1.2, ""mg"", 0.0012]","[190.0, ""mg"", 0.19]",NaN,"[0.0, ""mg"", 0.0]",NaN,"[110.0, null, 110.0]"
tg_12921086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12921087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12921088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tg_12921162,"[0.0, ""g"", 0.0]","[0.0, ""g"", 0.0]","[1.0, ""g"", 1.0]","[1.0, ""g"", 1.0]",NaN,NaN,NaN,"[310.0, ""mg"", 0.31]",NaN,NaN,NaN,"[5.0, null, 5.0]"
tg_12921276,"[0.0, ""g"", 0.0]","[0.0, ""g"", 0.0]","[17.0, ""g"", 17.0]","[11.0, ""g"", 11.0]",NaN,NaN,NaN,"[10.0, ""mg"", 0.01]",NaN,NaN,NaN,"[70.0, null, 70.0]"
tg_12921317,"[4.0, ""g"", 4.0]","[1.0, ""g"", 1.0]","[30.0, ""g"", 30.0]","[8.0, ""g"", 8.0]","[2.0, ""g"", 2.0]","[40.0, ""mg"", 0.04]","[1.4, ""mg"", 0.0014]","[180.0, ""mg"", 0.18]",NaN,"[0.0, ""mg"", 0.0]",NaN,"[150.0, null, 150.0]"
